Result Log

seed: 1535735763.710171

puzzle source: a1.txt

board size (#cols x #rows): 14 x 14
enforce_adj_quotas: False
adj_value_dont_care: 5
max_num_random_bulb_placements: 100

Run 1
1	6

Run 1
2	15

Run 1
3	19

Run 1
4	24

Run 1
5	30

Run 1
6	42

Run 1
7	51

Run 1
8	56

Run 1
9	61

Run 1
10	73

Run 1
11	77

Run 1
12	84

Run 1
81	87

Run 1
82	94

Run 1
83	99

Run 1
84	102

Run 1
85	112

Run 1
86	116

Run 1
87	119

Run 1
88	120

Run 1
1816	122

Run 1
1817	126

---------------------------

seed: 1535735766.7264063

puzzle source: a1.txt

board size (#cols x #rows): 14 x 14
enforce_adj_quotas: False
adj_value_dont_care: 5
max_num_random_bulb_placements: 100

Run 2
1	13

Run 2
2	18

Run 2
3	25

Run 2
4	31

Run 2
5	42

Run 2
6	50

Run 2
7	57

Run 2
8	65

Run 2
9	70

Run 2
10	76

Run 2
11	81

Run 2
12	84

Run 2
13	88

Run 2
14	96

Run 2
15	102

Run 2
211	107

Run 2
338	109

Run 2
339	110

Run 2
340	111

Run 2
341	116

Run 2
342	119

Run 2
1760	121

Run 2
1761	128

Run 2
1762	129

Run 2
1763	132

---------------------------

seed: 1535735769.631522

puzzle source: a1.txt

board size (#cols x #rows): 14 x 14
enforce_adj_quotas: False
adj_value_dont_care: 5
max_num_random_bulb_placements: 100

Run 3
1	4

Run 3
2	9

Run 3
3	18

Run 3
4	27

Run 3
5	30

Run 3
6	35

Run 3
7	46

Run 3
73	47

Run 3
74	57

Run 3
75	62

Run 3
76	72

Run 3
77	78

Run 3
78	89

Run 3
79	92

Run 3
80	99

Run 3
81	104

Run 3
82	107

Run 3
732	110

Run 3
733	112

Run 3
789	119

Run 3
4676	120

Run 3
4677	125

---------------------------

seed: 1535735772.6310625

puzzle source: a1.txt

board size (#cols x #rows): 14 x 14
enforce_adj_quotas: False
adj_value_dont_care: 5
max_num_random_bulb_placements: 100

Run 4
1	3

Run 4
2	9

Run 4
3	17

Run 4
4	24

Run 4
5	35

Run 4
6	41

Run 4
7	50

Run 4
8	55

Run 4
9	59

Run 4
10	67

Run 4
11	74

Run 4
12	78

Run 4
13	84

Run 4
14	86

Run 4
15	88

Run 4
16	95

Run 4
144	98

Run 4
145	104

Run 4
647	105

Run 4
648	111

Run 4
2477	112

Run 4
2478	116

Run 4
4552	118

---------------------------

seed: 1535735775.5302658

puzzle source: a1.txt

board size (#cols x #rows): 14 x 14
enforce_adj_quotas: False
adj_value_dont_care: 5
max_num_random_bulb_placements: 100

Run 5
1	5

Run 5
2	17

Run 5
3	27

Run 5
4	35

Run 5
5	44

Run 5
6	50

Run 5
7	59

Run 5
8	64

Run 5
9	66

Run 5
10	71

Run 5
11	74

Run 5
12	83

Run 5
13	87

Run 5
14	91

Run 5
216	96

Run 5
217	102

Run 5
218	104

Run 5
421	108

Run 5
422	112

Run 5
423	113

Run 5
424	117

Run 5
1573	121

Run 5
8253	124

Run 5
8254	125

---------------------------

seed: 1535735778.32067

puzzle source: a1.txt

board size (#cols x #rows): 14 x 14
enforce_adj_quotas: False
adj_value_dont_care: 5
max_num_random_bulb_placements: 100

Run 6
1	5

Run 6
2	12

Run 6
3	20

Run 6
4	25

Run 6
5	38

Run 6
